index,date,secPrecipBulk,year
1310,2020-09-10,21.875,2020.0
1311,2020-09-11,0.0,2020.0
1312,2020-09-12,0.0,2020.0
1313,2020-09-13,0.0,2020.0
1314,2020-09-14,0.0,2020.0
1315,2020-09-15,0.509,2020.0
1316,2020-09-16,0.0,2020.0
1317,2020-09-17,0.0,2020.0
1318,2020-09-18,0.0,2020.0
1319,2020-09-19,0.0,2020.0
1320,2020-09-20,0.0,2020.0
1321,2020-09-21,0.0,2020.0
1322,2020-09-22,0.509,2020.0
1323,2020-09-23,0.0,2020.0
1324,2020-09-24,0.0,2020.0
1325,2020-09-25,0.0,2020.0
1326,2020-09-26,0.0,2020.0
1327,2020-09-27,0.0,2020.0
1328,2020-09-28,0.0,2020.0
1329,2020-09-29,7.631,2020.0
1330,2020-09-30,28.488,2020.0
1331,2020-10-01,0.0,2020.0
1332,2020-10-02,5.596,2020.0
1333,2020-10-03,0.0,2020.0
1334,2020-10-04,0.0,2020.0
1335,2020-10-05,0.0,2020.0
1336,2020-10-06,1.5270000000000001,2020.0
1337,2020-10-07,7.631,2020.0
1338,2020-10-08,0.0,2020.0
1339,2020-10-09,0.0,2020.0
1340,2020-10-10,0.0,2020.0
1341,2020-10-11,0.0,2020.0
1342,2020-10-12,0.0,2020.0
1343,2020-10-13,44.26,2020.0
1344,2020-10-14,0.0,2020.0
1345,2020-10-15,0.0,2020.0
1346,2020-10-16,38.662,2020.0
1347,2020-10-17,42.223,2020.0
1348,2020-10-18,0.0,2020.0
1349,2020-10-19,0.0,2020.0
1350,2020-10-20,0.0,2020.0
1351,2020-10-21,0.0,2020.0
1352,2020-10-22,0.0,2020.0
1353,2020-10-23,0.0,2020.0
1354,2020-10-24,0.0,2020.0
1355,2020-10-25,0.0,2020.0
1356,2020-10-26,4.069999999999999,2020.0
1357,2020-10-27,0.0,2020.0
1358,2020-10-28,0.0,2020.0
1359,2020-10-29,1.018,2020.0
1360,2020-10-30,8.648,2020.0
1361,2020-10-31,2.544,2020.0
1362,2020-11-01,1.5259999999999998,2020.0
1363,2020-11-02,3.561,2020.0
1364,2020-11-03,0.0,2020.0
1365,2020-11-04,0.0,2020.0
1366,2020-11-05,0.0,2020.0
1367,2020-11-06,0.0,2020.0
1368,2020-11-07,0.0,2020.0
1369,2020-11-08,0.0,2020.0
1370,2020-11-09,0.0,2020.0
1371,2020-11-10,1.526,2020.0
1372,2020-11-11,0.0,2020.0
1373,2020-11-12,3.0519999999999996,2020.0
1374,2020-11-13,6.1049999999999995,2020.0
1375,2020-11-14,0.509,2020.0
1376,2020-11-15,0.0,2020.0
1377,2020-11-16,9.156,2020.0
1378,2020-11-17,0.0,2020.0
1379,2020-11-18,0.0,2020.0
1380,2020-11-19,0.0,2020.0
1381,2020-11-20,0.0,2020.0
1382,2020-11-21,0.0,2020.0
1383,2020-11-22,0.0,2020.0
1384,2020-11-23,18.823,2020.0
1385,2020-11-24,0.0,2020.0
1386,2020-11-25,0.0,2020.0
1387,2020-11-26,27.979,2020.0
1388,2020-11-27,0.509,2020.0
1389,2020-11-28,0.0,2020.0
1390,2020-11-29,0.0,2020.0
1391,2020-11-30,31.029,2020.0
1392,2020-12-01,4.069,2020.0
1393,2020-12-02,0.0,2020.0
1394,2020-12-03,0.0,2020.0
1395,2020-12-04,0.0,2020.0
1396,2020-12-05,28.485,2020.0
1397,2020-12-06,0.0,2020.0
1398,2020-12-07,0.0,2020.0
1399,2020-12-08,0.0,2020.0
1400,2020-12-09,0.0,2020.0
1401,2020-12-10,0.0,2020.0
1402,2020-12-11,0.0,2020.0
1403,2020-12-12,1.508,2020.0
1404,2020-12-13,6.032,2020.0
1405,2020-12-14,1.509,2020.0
1406,2020-12-15,0.0,2020.0
1407,2020-12-16,0.0,2020.0
1408,2020-12-17,0.0,2020.0
1409,2020-12-18,0.0,2020.0
1410,2020-12-19,0.0,2020.0
1411,2020-12-20,1.006,2020.0
1412,2020-12-21,0.0,2020.0
1413,2020-12-22,0.0,2020.0
1414,2020-12-23,0.0,2020.0
1415,2020-12-24,0.0,2020.0
1416,2020-12-25,67.844,2020.0
1417,2020-12-26,0.0,2020.0
1418,2020-12-27,0.0,2020.0
1419,2020-12-28,0.0,2020.0
1420,2020-12-29,0.0,2020.0
1421,2020-12-30,0.0,2020.0
1422,2020-12-31,6.537,2020.0
1423,2021-01-01,0.0,2021.0
1424,2021-01-02,16.587999999999997,2021.0
1425,2021-01-03,0.0,2021.0
1426,2021-01-04,0.0,2021.0
1427,2021-01-05,0.0,2021.0
1428,2021-01-06,0.0,2021.0
1429,2021-01-07,0.0,2021.0
1430,2021-01-08,0.0,2021.0
1431,2021-01-09,0.0,2021.0
1432,2021-01-10,0.0,2021.0
1433,2021-01-11,0.0,2021.0
